Species;population;N.ind;N.plots
Peltogyne catingae;2,08E+08;293;78
Pterocarpus officinalis;2,08E+08;1568;142
Hevea pauciflora;2,07E+08;436;55
Guatteria discolor;2,07E+08;491;124
Clathrotropis glaucophylla;2,07E+08;458;22
Simaba cedron;2,07E+08;689;186
Oxandra espintana;2,06E+08;451;25
Pouteria gongrijpii;2,06E+08;1751;212
Euterpe catinga;2,05E+08;287;12
Astrocaryum ferrugineum;2,05E+08;571;25
Micropholis gardneriana;2,05E+08;2860;16
Iryanthera sagotiana;2,03E+08;1316;171
Enterolobium schomburgkii;2,03E+08;643;241
Couepia paraensis;2,03E+08;418;74
Calycophyllum spruceanum;2,02E+08;724;103
Dicorynia guianensis;2,02E+08;1362;123
Eugenia florida;2,02E+08;472;166
Aspidosperma cuspa;2,01E+08;316;7
Eschweilera micrantha;2,01E+08;1324;155
Pachira insignis;2,00E+08;499;122
Chrysophyllum argenteum;2,00E+08;681;208
Macrolobium multijugum;2,00E+08;444;39
Pouteria procera;2,00E+08;832;156
Tapura amazonica;1,99E+08;782;233
Ocotea aurantiodora;1,99E+08;512;157
Tachigali venusta;1,99E+08;373;79
Capirona decorticans;1,99E+08;479;136
Moquilea longistyla;1,99E+08;431;147
Sarcaulus brasiliensis;1,99E+08;884;230
Ocotea glomerata;1,97E+08;702;93
Diospyros guianensis;1,97E+08;1014;120
Ormosia paraensis;1,96E+08;462;183
Pouteria glomerata;1,95E+08;433;123
Anaueria brasiliensis;1,95E+08;206;51
Tabebuia aurea;1,95E+08;450;8
Brosimum parinarioides;1,95E+08;569;271
Eschweilera ovalifolia;1,95E+08;336;63
Roucheria columbiana;1,94E+08;574;190
Trattinnickia rhoifolia;1,94E+08;603;173
Moquilea egleri;1,94E+08;712;135
Cordia bicolor;1,93E+08;878;146
Anadenanthera colubrina;1,92E+08;383;25
Amphirrhox longifolia;1,92E+08;407;102
Oenocarpus distichus;1,92E+08;313;91
Licania buxifolia;1,92E+08;976;24
Aspidosperma rigidum;1,91E+08;416;142
Miconia punctata;1,90E+08;761;159
Unonopsis floribunda;1,89E+08;589;111
Tabebuia insignis;1,89E+08;727;33
Perebea mollis;1,89E+08;344;153
Trichilia septentrionalis;1,86E+08;658;221
Nectandra amazonum;1,86E+08;468;61
Micrandra siphonioides;1,86E+08;397;48
Dipteryx odorata;1,86E+08;735;269
Theobroma obovatum;1,85E+08;431;97
Hevea nitida;1,85E+08;349;39
Cynometra bauhiniifolia;1,85E+08;300;54
Apuleia leiocarpa;1,85E+08;368;141
Terminalia amazonia;1,84E+08;585;200
Duguetia spixiana;1,84E+08;546;91
Tachigali rugosa;1,84E+08;416;37
Sterculia excelsa;1,82E+08;926;237
Inga nobilis;1,81E+08;565;170
Mollia speciosa;1,81E+08;464;34
Pourouma ovata;1,80E+08;445;124
Warszewiczia coccinea;1,79E+08;307;80
Erisma calcaratum;1,79E+08;404;42
Rinorea viridifolia;1,78E+08;562;67
Cordia nodosa;1,77E+08;440;162
Eschweilera punctata;1,76E+08;356;29
Couratari stellata;1,76E+08;553;183
Symmeria paniculata;1,76E+08;534;66
Eschweilera andina;1,76E+08;344;71
Cordia exaltata;1,76E+08;850;211
Brosimum acutifolium;1,76E+08;374;209
Nectandra cuspidata;1,75E+08;369;110
Matayba inelegans;1,75E+08;271;70
Ocotea leucoxylon;1,75E+08;451;69
Rinorea riana;1,74E+08;4676;79
Lacistema aggregatum;1,74E+08;474;194
Matisia ochrocalyx;1,74E+08;732;135
Casearia gossypiosperma;1,74E+08;358;54
Swartzia schomburgkii;1,73E+08;444;113
Protium divaricatum;1,73E+08;413;93
Micrandropsis scleroxylon;1,73E+08;509;51
Aspidosperma spruceanum;1,72E+08;752;181
Sorocea guilleminiana;1,72E+08;376;139
Naucleopsis ulei;1,71E+08;381;168
Miconia chrysophylla;1,71E+08;457;63
Licania membranacea;1,71E+08;1073;176
Tapura juruana;1,70E+08;371;102
Protium nitidifolium;1,70E+08;262;117
Leptobalanus latus;1,68E+08;317;90
Xylopia benthamii;1,68E+08;506;141
Pouteria filipes;1,67E+08;1184;212
Licaria crassifolia;1,67E+08;827;262
Ceiba pentandra;1,66E+08;314;166
Hymenopus latifolius;1,66E+08;360;121
Bocoa viridiflora;1,66E+08;595;180
Poraqueiba guianensis;1,65E+08;1035;163
Protium pallidum;1,64E+08;656;115
Poincianella pluviosa;1,64E+08;274;6
Aspidosperma desmanthum;1,64E+08;1000;234
Allantoma decandra;1,64E+08;495;160
Pseudoxandra polyphleba;1,64E+08;265;56
Mouriri grandiflora;1,64E+08;427;91
Elaeoluma glabrescens;1,63E+08;327;41
Rhodothyrsus macrophyllus;1,63E+08;266;73
Lunania parviflora;1,63E+08;502;65
Xylopia nitida;1,63E+08;1084;248
Siparuna guianensis;1,62E+08;343;111
