species;population;N.ind;N.plots;pop.sd
Acacia tenuifolia;14867433,827;12;6;6975183,84665875
Acalypha diversifolia;12786909,1348;8;2;9831947,62076182
Acalypha mapirensis;5019984,7372;7;3;3751380,34088783
Acalypha stenoloba;4919661,0918;3;1;4243176,92315361
Acanthocladus scleroxyon;1989808,6856;2;1;2734293,57127412
Acanthosyris annonagustata;1569170,7486;7;3;1338880,70384591
Achatocarpus praecox;36278805,1816;37;3;24991656,3929142
Acinodendron regnellii;3971690,4576;3;1;4352417,35686816
Acioa edulis;1034864,0974;1;1;1035489,40034835
Acioa guianensis;311111,9728;1;1;338151,243629166
Acioa schultesii;5276702,4882;4;2;3668670,83193693
Acosmium cardenasii;443994895,9916;399;13;249212051,521774
Acosmium dasycarpum;1081787,7458;2;1;1189373,89103848
Acosmium nitens;345275114,736;606;25;130901705,018726
Acosmium praeclarum;30324231,115;72;8;14750363,4077989
Acrocomia aculeata;17853803,6508;22;2;15653305,4685614
Actinostemon amazonicus;4273821,1702;3;2;3058201,08658445
Adelia ricinella;6809931,1906;7;5;3368750,11339853
Adiscanthus fusciflorus;2554079,9764;3;3;1589672,34749206
Aegiphila cordata;964805,358;1;1;1161210,41657831
Aegiphila filipes;2797270,1108;2;2;1627837,97148221
Aegiphila haughtii;4321717,9476;11;7;2092743,85790187
Aegiphila integrifolia;12010508,4182;17;8;5827230,95270413
Aegiphila lhotskiana;1081787,7458;2;1;1189373,89103848
Aegiphila martinicensis;480352,5062;1;1;594401,565131532
Aegiphila racemosa;176972,0448;1;1;203873,945608155
Aegiphila villosa;1404932,5496;1;1;1054785,6489786
Aenigmatanthera lasiandra;7223993,8156;8;1;9611630,50977132
Agonandra brasiliensis;74078990,8384;87;51;16176352,0172528
Agonandra excelsa;899989,4028;2;1;747409,295674503
Agonandra peruviana;6095330,9254;10;10;3146230,72928222
Agonandra silvatica;51180448,0254;94;67;10943064,019945
Agouticarpa isernii;457963,2732;1;1;448061,490123925
Agouticarpa velutina;416530,8754;1;1;319585,828743485
Aiouea brasiliensis;315914,244;1;1;420903,254475097
Aiouea grandifolia;16067647,2648;38;31;3491676,17482519
Aiouea guianensis;2309108,9258;4;4;1464168,66375744
Aiouea impressa;3241074,283;5;5;1991207,27635316
Aiouea laevis;13114176,4644;20;13;5419197,30321619
Aiouea longipetiolata;10197326,3128;9;4;7238806,63130123
Aiouea maguireana;10633314,48;19;10;8909818,29358575
Aiouea mocambensis;3215196,9446;3;1;3345724,81709304
Aiouea myristicoides;26673652,407;43;36;6520558,54093705
Aiouea opaca;337459,5684;2;1;361193,275467248
Aiouea piauhyensis;7071197,5052;4;2;5090506,61739889
Aiouea saligna;5783727,0954;12;2;3984812,412086
Aiouea trinervis;3012911,1652;3;2;2496242,38569392
Aiphanes aculeata;987580,1374;1;1;1000873,21320581
Aiphanes ulei;14782473,4092;14;1;18227471,0869053
Albizia carbonaria;917693,1634;1;1;1002685,58884901
Albizia decandra;4806338,3124;7;4;3453827,977856
Albizia duckeana;7725481,3698;14;10;3309277,22931285
Albizia niopoides;12136828,0742;11;8;5789970,47139881
Albizia pedicellaris;91574071,6574;183;90;15791468,3657137
Albizia subdimidiata;47123829,55;47;14;16996291,5543525
Alchornea castaneifolia;86571212,3946;33;4;62783361,4765576
Alchornea cordata;1181684,5134;2;1;1161594,58861543
Alchornea discolor;341975558,578;357;84;107181041,748184
Alchornea floribunda;3313276,5848;2;2;3910423,79875176
Alchornea fluviatilis;1588454,795;2;2;1110491,03642442
Alchornea glandulosa;109057095,1804;121;37;56678461,962754
Alchornea grandiflora;60617448,9758;24;1;67802129,6203307
Alchornea latifolia;7075854,2518;15;10;2667353,0196095
