Accepted_species;n.ind;n.plots;est.ind;population.mean;population.sd
Coussarea_duckei;4;1;1012886,24836782;1099373,314039;1083913,57664597
Machaerium_opacum;4;1;991770,134661656;1097433,9064968;1125430,67699151
Dacryodes_cupularis;4;2;1090307,21678844;1096881,8364526;944050,953702495
Parkia_paraensis;4;2;1051687,96717208;1095695,5996404;872153,621378275
Chromolucuma_baehniana;1;1;1079379,15461419;1095264,5995978;1110905,22453088
Cybianthus_laurifolius;1;1;1079295,70563122;1092423,9868282;1071209,20861404
Archytaea_triflora;1;1;1195198,94576267;1086306,0001978;1029831,99236025
Eschweilera_sessilis;1;1;1079295,70563122;1083867,518368;1039660,82180277
Froesiodendron_amazonicum;2;1;1029658,33471617;1083487,6758592;1000216,4620027
Miconia_eugenioides;1;1;983784,252565639;1083223,3692896;944959,91828132
Aiouea_guianensis;4;4;1051011,85028452;1082239,92379888;606579,961301467
Neea_hirsuta;2;2;1048062,5379946;1081051,0422804;731429,685202486
Stachyarrhena_penduliflora;1;1;1147507,59163907;1080156,1443532;1055799,28057075
Rhodostemonodaphne_synandra;3;2;903821,147392664;1080152,183498;744866,751469855
Ruizterania_clavata;1;1;1079379,15461419;1078136,2675066;987902,194210636
Coussapoa_jatun-sachensis;3;3;1082006,95297181;1077909,261826;621461,846881141
Abarema_gallorum;11;3;989896,413452075;1077319,9578422;627624,579462104
Schistostemon_sylvaticum;11;4;1028215,1476148;1075517,8924268;512565,829342731
Solanum_asperum;1;1;1027507,00840583;1068815,5172738;1047675,27490838
Lonchocarpus_pluvialis;1;1;1018697,01662371;1068279,2900908;982616,714554024
Alibertia_stipularis;3;2;982975,44330681;1065206,0342326;769651,419324633
Mollinedia_lanceolata;1;1;1132650,1979818;1064502,7236368;1088478,31784775
Alseis_eggersii;2;2;1086413,02404216;1062985,6883888;685405,262298913
Aspidosperma_inundatum;5;4;1068317,38767449;1060317,5481658;597785,273201499
Miconia_prancei;2;2;1070115,50509734;1053418,822668;761012,429604832
Catostemma_ebracteolatum;1;1;1046762,9166416;1051971,1025404;1026507,67197519
Clavija_ornata;2;2;951732,088557216;1051846,0123262;702682,355761932
Palicourea_oblonga;2;1;998856,092274125;1051316,492216;1061885,93932063
Licania_velutina;5;5;1026970,32351935;1051155,4935696;499294,735274347
Hymenopus_krukovii;3;3;1052179,02619988;1050853,1055664;716468,483525727
Swartzia_latifolia;1;1;1004563,28576049;1050467,1267662;1031732,42818918
Dacryodes_granatensis;1;1;993511,980002766;1047430,155784;949339,668201938
Ormosia_stipularis;4;3;973966,505899252;1047236,68313446;741309,700371679
Senna_undulata;2;2;1086043,81737305;1047020,6010992;780210,229913787
Sloanea_steyermarkii;4;1;939662,324353812;1046655,3144712;1030913,1260761
Ouratea_ferruginea;1;1;983784,252565639;1045955,4281058;1009115,467686
Machaerium_lunatum;1;1;1032867,01121384;1042338,7526446;1060541,28829351
Cybianthus_prieurii;2;1;1023867,04939407;1038902,5977244;966851,08557475
Guatteria_alata;1;1;1001331,66867039;1038432,2945754;993045,49266632
Coussarea_tenuiflora;5;3;976655,483681431;1038390,7568958;634039,711505925
Rudgea_klugii;1;1;1046762,9166416;1037383,0996838;1019064,53141557
Qualea_themistoclesii;1;1;1046762,9166416;1036600,1511748;999048,265701941
Heterostemon_impar;1;1;1079295,70563122;1036361,3899368;1038157,50687091
Clusiella_axillaris;1;1;1218013,85157677;1035844,3669136;1012716,48958126
Alibertia_pilosa;2;2;1042419,56511586;1032319,74985922;988337,326064732
Piper_laevigatum;2;2;957775,958044365;1032307,7132692;781372,852834207
Brunfelsia_grandiflora;1;1;1132650,1979818;1032202,0463;1022724,68548414
Coussarea_brevicaulis;3;3;948967,862421786;1026043,9400094;687870,267275641
Ocotea_boissieriana;1;1;1018300,64743348;1025920,4835834;1051807,78271389
Eschweilera_paniculata;2;1;1092566,5270193;1024990,8613868;980162,800043307
