Species;population;N.ind;N.plots
Licaria cannella;149723608,570953;780;237
Clarisia biflora;149509681,974016;519;161
Guarea carinata;149372045,099941;484;127
Triplaris americana;149335801,043905;379;86
Lecythis confertiflora;149158781,774438;664;55
Hirtella triandra;148740812,762567;407;107
Parkia igneiflora;148362615,607347;280;68
Xylopia calophylla;148006585,466948;738;83
Myrcia amazonica;147996073,348586;354;67
Caraipa longipedicellata;147953389,464723;239;18
Protium goudotianum;147663472,398747;277;80
Protium grandifolium;147577217,724318;363;108
Machaerium hirtum;147426332,371669;535;7
Zygia cauliflora;147244532,337934;684;70
Pouteria hispida;147209798,457565;436;205
Lecythis persistens;147110226,212939;1534;73
Ocotea canaliculata;146375999,96566;526;147
Protium guianense;146044263,369422;444;127
Guarea gomma;145584402,603708;511;138
Guatteria schomburgkiana;145397944,326387;456;126
Macrolobium microcalyx;145128804,094256;346;63
Heisteria acuminata;144542647,406733;307;132
Cecropia ficifolia;144164015,906796;453;107
Crudia amazonica;143712368,721543;331;62
Couratari guianensis;143370040,015276;533;280
Inga stenoptera;143042250,103615;403;82
Oxandra asbeckii;142702253,029739;1001;97
Pouteria campanulata;142478128,452413;440;178
Zygia inaequalis;142352862,649873;432;63
Chimarrhis turbinata;142160314,226547;1163;209
Psidium sartorianum;141740633,193311;137;6
Caraipa punctulata;141559894,114761;206;36
Parinari excelsa;141452084,61629;438;184
Lecythis retusa;141351090,566601;134;29
Eperua jenmanii;140773585,61207;357;12
Paypayrola grandiflora;140556462,229757;996;203
Trichilia schomburgkii;139853531,186472;370;124
Parkia nitida;139629556,228993;489;252
Virola venosa;139488879,665857;304;135
Matisia lasiocalyx;139267860,784809;269;34
Swartzia laevicarpa;139258731,619998;492;76
Pseudopiptadenia psilostachya;139142110,396041;539;165
Swartzia benthamiana;139124680,829712;245;68
Hymenaea parvifolia;138553774,776686;364;149
Ampelocera ruizii;138479313,60155;265;57
Tachigali melanocarpa;137860974,10524;239;64
Alchorneopsis floribunda;137818981,479465;364;165
Guatteria scytophylla;137472612,328651;336;92
Amaioua glomerulata;137237530,806453;417;109
Chrysophyllum amazonicum;137001975,142769;237;84
Theobroma grandiflorum;136915687,283257;130;60
Fusaea longifolia;136581446,772539;527;232
Perebea xanthochyma;136087541,721312;497;127
Tapura guianensis;135758482,470627;682;147
Swartzia cardiosperma;135662933,716692;695;96
Mabea angularis;135336195,034697;710;83
Terminalia grandis;134371224,59619;395;215
Theobroma glaucum;133611921,099622;1568;115
Matayba guianensis;133303417,050749;351;67
Qualea acuminata;133109935,825278;296;57
Cecropia concolor;133027316,450427;281;66
Eugenia patrisii;132894302,699914;667;212
Protium crassipetalum;132037883,902297;277;92
Duguetia marcgraviana;131730903,328956;287;37
Pradosia schomburgkiana;131529264,93379;688;47
Pouteria trilocularis;131202417,576557;433;116
Couma macrocarpa;130693919,25206;315;157
Heterostemon conjugatus;130689502,423933;189;22
Panopsis rubescens;130309952,330332;589;54
Gustavia pulchra;130289616,464822;198;11
Zanthoxylum rhoifolium;130021800,774876;196;74
Annona exsucca;129839207,705991;313;122
Mollia gracilis;129602742,340369;399;46
Licania laxiflora;128833990,113437;601;86
Maprounea guianensis;128701973,37583;286;100
Gallesia integrifolia;128427868,348516;216;47
Campsiandra angustifolia;128146244,886816;227;32
Pouteria bilocularis;127882848,073783;495;175
Ruizterania albiflora;127201045,484382;797;157
Swartzia arborescens;126987167,409172;435;209
