"species";"population";"N.ind";"N.plots";"pop.sd"
"Lecythis_prancei";290053229,674;411;116;117376190,963965
"Lacistema_aggregatum";289559374,168;332;148;49284474,3517152
"Iryanthera_sagotiana";288507450,352;999;127;78988254,1484122
"Protium_goudotianum";287611219,524;242;64;58620807,4825593
"Geissospermum_argenteum";287479883,586;407;78;61674156,8543019
"Perebea_guianensis";287256621,414;362;116;73758364,719202
"Capirona_decorticans";286781169,352;364;101;50283346,9318255
"Licania_laxiflora";286416024,542;528;64;104000204,612269
"Gustavia_pulchra";285883604,745;145;9;105055967,390122
"Diospyros_guianensis";285819289,0414;708;63;90208174,1491102
"Otoba_glycycarpa";285712765,204;613;61;71763953,7351927
"Ampelocera_edentula";281903273,312;372;199;52187548,8293902
"Piranhea_longepedunculata";281765191,2522;273;8;105850391,676732
"Maquira_guianensis";280799762,348;482;222;39614983,4010817
"Ocotea_guianensis";279409335,19;403;49;59959289,8143161
"Sterculia_speciosa";277800868,962;327;112;43253893,2470029
"Sloanea_guianensis";276762279,454;408;176;34172706,8720005
"Leopoldinia_pulchra";276392974,5232;207;4;313674428,304033
"Thyrsodium_spruceanum";276015189,434;401;169;30486548,574232
"Oenocarpus_mapora";274895758,458;374;83;55808055,2584217
"Pouteria_egregia";272115747,154;347;56;56966213,5378304
"Neea_floribunda";271744476,93;291;75;73210188,1803469
"Tachigali_myrmecophila";271438173,63;327;107;43525985,2238438
"Dicorynia_guianensis";269120052,658;1115;100;69371386,2805
"Chaetocarpus_schomburgkianus";267739623,12;539;89;47855999,8385644
"Perebea_mollis";266955965,978;217;102;53099458,7436561
"Inga_nobilis";266579615,514;441;123;56314753,8342416
"Helicostylis_scabra";265849975,586;340;136;54539811,2331336
"Pouteria_bilocularis";264948284,178;306;109;60443609,3329021
"Protium_polybotryum";264336525,162;364;74;73693719,1129401
"Piranhea_trifoliata";263799841,414;205;24;75846003,2423953
"Ruizterania_retusa";263642524,8472;389;11;148664471,158091
"Vochysia_vismiifolia";262261342,4;266;50;54580701,0897453
"Brosimum_parinarioides";261733745,162;263;158;53709232,7095491
"Sorocea_steinbachii";260351930,78;405;82;68768082,2677016
"Parkia_igneiflora";259726835,9202;198;51;147298947,139132
"Sloanea_floribunda";259701927,36;335;161;30448073,707832
"Sarcaulus_brasiliensis";259212015,008;620;167;32129185,1229946
"Parkia_multijuga";259009186,696;322;150;31636813,0907338
"Matisia_cordata";258161689,438;463;51;73372893,7398885
"Mouriri_grandiflora";257703124,598;351;63;67651005,2826554
"Trichilia_septentrionalis";253628155,482;462;174;94397896,2818472
"Nectandra_cuspidata";253033341,664;246;77;45117793,0877186
"Licania_impressa";252495628,874;263;79;71211074,6959527
"Pouteria_glomerata";251701583,776;313;74;68384268,6475059
"Theobroma_glaucum";251693253,624;333;73;55934593,4795894
"Eschweilera_pseudodecolorans";251146856,544;271;72;124474212,937876
"Anaxagorea_dolichocarpa";251137405,4976;193;35;90911498,823327
"Iryanthera_macrophylla";248924529,0042;323;65;87101352,3097416
"Pouteria_trilocularis";248768376,204;320;85;90693702,541058
"Iryanthera_elliptica";248328104,702;328;101;64742504,6767341
"Macrolobium_gracile";247866069,3698;232;35;84156297,3525517
"Siparuna_guianensis";247049972,502;282;80;45373664,0040031
"Pradosia_surinamensis";246904626,3422;94;8;138577170,335622
"Hymenaea_courbaril";246634904,338;285;138;38952490,7437532
"Brosimum_acutifolium";245192409,452;256;139;33189240,0633124
"Iryanthera_hostmannii";244815206,648;386;103;45963961,4003101
"Fusaea_longifolia";244493385,458;362;170;49186010,6554068
"Tabebuia_insignis";243510789,0276;573;24;107564471,122643
"Casearia_javitensis";242570667,82;464;207;29347328,9226471
"Licaria_cannella";241754286,466;468;184;45976990,2219358
"Cecropia_distachya";241549560,618;360;116;36894830,6215448
"Hirtella_triandra";241192589,42;309;70;52267407,8455892
"Lunania_parviflora";239567586,728;450;58;49904561,8017552
"Mouriri_acutiflora";239139455,3776;472;41;157656643,443704
"Coussarea_racemosa";238805871,6716;170;26;166343564,252909
"Mauritiella_armata";238586528,218;576;13;112273648,799781
"Rinorea_viridifolia";238360091,706;505;56;67195789,5515902
"Dicymbe_uaiparuensis";237786893,235;491;8;139288239,107166
"Hevea_spruceana";237775979,478;197;29;48008554,096413
"Eschweilera_andina";236308500,9484;298;57;65802501,2187984
"Chrysophyllum_argenteum";236137822,314;396;150;28932777,5929496
"Protium_unifoliolatum";236136383,0156;415;41;106927456,679105
"Myrcia_multiflora";235887664,3364;263;37;88930594,5319404
"Miconia_punctata";235266535,416;330;118;44330060,3934573
"Swartzia_schomburgkii";234489357,634;310;86;53790398,8695647
"Sloanea_latifolia";233928643,9734;172;69;75545170,5974831
"Myrcia_amazonica";233902023,0186;332;43;117479762,317598
"Swartzia_racemosa";233359338,514;565;98;38803947,4351061
"Licania_membranacea";233225463,152;697;115;27397067,4880175
"Himatanthus_articulatus";232958225,33;161;64;80124336,3123056
"Apeiba_petoumo";232922962,712;563;165;41435119,3275355
"Trymatococcus_amazonicus";232815275,35;332;155;34876959,61678
"Glycydendron_amazonicum";231776151,888;291;170;36855569,2915691
"Trattinnickia_rhoifolia";231773244,946;243;104;36642010,2194047
"Parinari_excelsa";231015679,842;207;106;49861490,0879501
"Elaeoluma_glabrescens";230637935,5858;244;24;141545326,620751
"Oxandra_asbeckii";230113779,6688;840;81;73177208,0804947
"Mollia_speciosa";229787623,1752;260;16;139244470,57031
"Guarea_gomma";229010649,388;375;114;43803320,8077292
"Anaueria_brasiliensis";228283206,183;143;28;97243815,6504139
"Tapura_juruana";226046097,654;288;85;44105021,889907
"Andira_fraxinifolia";225803174,806;45;2;186250456,576021
"Miconia_chrysophylla";225602761,1522;231;35;70599378,0028963
"Hirtella_bicornis";225518373,524;307;107;61811844,341874
"Maquira_sclerophylla";225414294,828;252;109;47401374,020552
"Lueheopsis_hoehnei";225347899,6472;233;2;197376121,313983
"Ocotea_longifolia";224989644,4;200;83;51334209,290259
"Protium_divaricatum";223402652,3996;265;68;69157935,7480166
"Cordia_exaltata";223248769,524;388;129;37426347,4484423
"Tapirira_obtusa";220968206,79;417;142;34030273,2724007
"Physocalymma_scaberrimum";220185551,2932;321;35;103268582,547643
"Garcinia_madruno";220083400,134;303;141;35682576,2957256
"Gustavia_coriacea";219996790,2316;173;6;117119171,493864
"Cordia_nodosa";218664397,372;314;109;32427215,6746297
"Simaba_cedron";218319074,554;311;89;38615362,6545829
"Siphoneugena_occidentalis";218223586,1462;222;3;166752343,124482
"Oxandra_espintana";217746647,4792;261;23;145443537,117144
"Copaifera_multijuga";217707915,7788;120;59;55704891,8030393
"Neoraputia_paraensis";217684130,5658;107;6;207572598,299997
"Ormosia_paraensis";217352598,536;216;98;49547425,6396284
"Zanthoxylum_rhoifolium";217326662,452;134;53;56628283,9354107
"Tachigali_venusta";217036042,724;244;59;47373868,9173476
"Xylopia_benthamii";216655682,388;299;93;45068230,4536632
"Couratari_stellata";215664331,276;412;125;37287690,9502606
"Sorocea_briquetii";215119074,04;462;61;34569629,4016346
"Amaioua_corymbosa";214604191,273;332;70;56564321,0942395
"Zygia_inaequalis";214428639,48;288;33;56520720,8940215
"Maprounea_guianensis";213951580,685;208;75;104751096,314637
"Matayba_inelegans";213924183,4148;163;44;87342746,3778688
"Combretum_leprosum";213588965,9952;225;8;102572460,680152
