species;population;N.ind;N.plots
Trichilia cipo;261127962,850689;416;116
Eugenia punicifolia;30000811,1383475;145;11
Pachira insignis;194470790,279677;499;122
Luehea paniculata;21557507,1663835;61;11
Xylopia ligustrifolia;79517507,6592511;229;40
Qualea rosea;115897372,318512;507;55
Vochysia vismiifolia;303484950,542471;487;91
Centrolobium microchaete;57030882,0044711;91;7
Pausandra trianae;212623986,729571;669;71
Pouteria glomerata;184255551,329606;433;123
Guatteria blepharophylla;60984683,265524;221;39
Eugenia cupulata;76534844,1670579;571;101
Swartzia laevicarpa;139152902,039998;492;76
Sapium marmieri;275181723,982004;702;196
Erisma japura;50471467,5499638;98;11
Garcinia madruno;234177149,75976;507;243
Inga lateriflora;204291144,357313;336;85
Hymenopus divaricatus;51438551,4773782;272;33
Matayba inelegans;170790470,509218;271;70
Duguetia furfuracea;9696403,72575824;52;4
Capirona decorticans;193912865,936713;491;141
Xylopia plowmanii;27560143,9600389;58;4
Parkia panurensis;80594790,0417221;182;76
Protium spruceanum;442435900,848475;1908;261
Vitex compressa;30178875,9469503;57;9
Swartzia cardiosperma;135680967,390954;695;96
Aniba terminalis;45981893,4136851;94;46
Talisia obovata;12680452,9210481;38;5
Mauritia carana;69353009,5992863;171;21
Chamaecrista adiantifolia;108370057,373656;251;31
