species;population;N.ind;N.plots
Calycolpus revolutus;7631713,13976205;39;7
Calycophyllum acreanum;15669579,0943765;29;12
Calycophyllum megistocaulum;2074730,42924413;1;1
Calycophyllum multiflorum;25551661,5160547;16;5
Calycophyllum obovatum;50756622,9557397;42;14
Calycophyllum spruceanum;194288834,389883;241;45
Calycorectes bergii;10826353,1108789;5;1
Calycorectes psidiiflorus;5306815,96915465;7;1
Calyptranthes amshoffae;4250189,76041106;3;2
Calyptranthes bipennis;76836929,5009155;145;58
Calyptranthes concinna;588509,621781177;1;1
Calyptranthes crebra;164449795,054829;129;27
Calyptranthes cuspidata;110601982,084563;114;31
Calyptranthes densiflora;4403514,13824101;8;6
Calyptranthes fasciculata;15999878,2964974;18;6
Calyptranthes forsteri;7489135,92877026;12;11
Calyptranthes krugioides;2549522,74053382;4;4
Calyptranthes lanceolata;356587,001781637;1;1
Calyptranthes lepida;444256,738891067;1;1
Calyptranthes longifolia;1434074,31216636;6;3
Calyptranthes lucida;25931800,6866163;18;5
Calyptranthes macrophylla;10940605,5552546;28;18
Calyptranthes maxima;5680593,32428216;16;11
Calyptranthes multiflora;47690723,1168713;39;12
Calyptranthes paniculata;5480633,9556162;17;12
Calyptranthes plicata;792357,328518425;1;1
Calyptranthes pulchella;2710373,68347417;3;2
Calyptranthes ruiziana;4508827,59731961;6;3
Calyptranthes simulata;3018111,56634779;8;3
Calyptranthes speciosa;13057524,2117462;23;13
Calyptranthes tessmannii;2048207,71138195;6;2
Campnosperma gummifera;14823382,0512397;8;4
Campomanesia aromatica;14656384,830939;17;9
Campomanesia aurea;3232038,49763528;6;4
Campomanesia eugenioides;463691,278660903;1;1
Campomanesia lineatifolia;2618030,00105934;7;7
Campomanesia neriiflora;5322478,78339289;3;3
Campomanesia speciosa;1391507,28317289;1;1
Campsiandra angustifolia;183880216,099806;201;24
Campsiandra casiquiarensis;28520518,0685828;17;1
Campsiandra comosa;153722052,100186;115;22
Campsiandra gomez-alvareziana;18553932,0949458;12;2
Campsiandra laurifolia;458235716,244218;304;28
Candolleodendron brachystachyum;131379578,585044;230;53
Capirona decorticans;309464271,809044;364;101
Capparidastrum coimbranum;8234687,08238256;10;1
Capparidastrum macrophyllum;16858452,0248455;50;18
Capparidastrum osmanthum;16198113,9015877;23;11
Capparidastrum petiolare;2532457,67837398;2;1
Capparidastrum solum;12700041,1333047;15;8
Capparis amazonica;1400999,63510987;2;2
Capparis amplissima;4604264,33881271;7;5
Capparis coimbrana;50225451,7727464;42;1
Capparis detonsa;1413409,1580149;6;4
